	GWC2	ORAL_P_A_F_Bin_00012	ORAL_P_A_F_Bin_00021	ORAL_P_A_F_Bin_00032	ORAL_P_A_F_Bin_00045	ORAL_P_A_F_MAG_00015	ORAL_P_A_M_Bin_00015	ORAL_P_A_M_Bin_00020	ORAL_P_B_F_Bin_00037	ORAL_P_B_F_MAG_00010	ORAL_P_B_F_MAG_00020	ORAL_P_B_F_MAG_00026	ORAL_P_B_F_MAG_00030	ORAL_P_B_M_Bin_00030	ORAL_P_B_M_MAG_00009	ORAL_P_B_M_MAG_00010	ORAL_P_B_M_MAG_00013	ORAL_P_C_F_Bin_00020	ORAL_P_C_F_Bin_00028	ORAL_P_C_F_MAG_00002	ORAL_P_C_F_MAG_00004	ORAL_P_C_M_Bin_00016	ORAL_P_C_M_Bin_00022	ORAL_P_C_M_Bin_00040	ORAL_P_C_M_MAG_00010	ORAL_P_C_M_MAG_00011	ORAL_P_C_M_MAG_00013	ORAL_P_D_F_Bin_00011	ORAL_T_A_F_MAG_00011	ORAL_T_A_F_MAG_00015	ORAL_T_A_F_MAG_00016	ORAL_T_B_F_Bin_00010	ORAL_T_B_F_Bin_00011	ORAL_T_B_F_Bin_00014	ORAL_T_B_M_MAG_00011	ORAL_T_B_M_MAG_00012	ORAL_T_C_F_MAG_00008	ORAL_T_C_M_Bin_00011	ORAL_T_C_M_Bin_00012	ORAL_T_C_M_Bin_00015	ORAL_T_C_M_Bin_00022	ORAL_T_C_M_MAG_00008	ORAL_T_D_F_MAG_00008	ORAL_T_D_F_MAG_00010	RAAC3	S_aal	TM7_MAG_III_A_1	TM7_MAG_III_A_2	TM7_MAG_III_B_1	TM7_MAG_III_C_1	TM7_S1_	TM7_S2_	TM7_S7_	TM7c	TM7x
ABC-type amino acid transport system, permease component	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1
Uncharacterized conserved protein YqeY	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	2	1
16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	2	2	1	1	1	3	2	1	1	2	3	3	1	1	3	3	3	1	1	2	2	3	1	1	1	1	3	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	3	2	4	2	3	3	0	0	2	1	1
ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	2	2	0	0	2	0	1
Ribosomal protein S14	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
DnaJ-class molecular chaperone with C-terminal Zn finger domain	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Transcription elongation factor, GreA/GreB family	2	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	2	0	0	1	0	2
Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme	1	1	1	1	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	3	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1
Ribosomal protein L13	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1
Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	1	3	1	2	1	1	3	2	1	2	2	2	2	1	3	2	3	2	2	1	2	3	0	2	1	1	2	2	3	2	2	1	2	1	3	2	3	1	3	2	1	2	3	2	1	1	2	1	1	4	2	1	3	4	2
tRNA G18 (ribose-2'-O)-methylase SpoU	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	0	2	2	2	2	1	2	3	2	3	2	2	2	3	1	0	3	2	2	2	2	2	1	1	3	1	0	1	1	0	2
Ribonucleotide reductase alpha subunit	1	0	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	4	1
Ca2+-binding protein, RTX toxin-related	1	2	6	4	1	2	6	3	4	1	3	1	2	2	1	2	3	3	3	1	1	1	2	2	2	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	7	1	1	2
Membrane-associated protease RseP, regulator of RpoE activity	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	0	0	1	0	1
Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	1	3	1	3	1	1	1	2	2	2	2	3	1	2	1	2	1	3	1	2	3	1	1	1	0	2	1	1	1	1	2	2	1	2	1	1	1	1	1	0	2	3	2	1	1	1	1	1	2	3	0	0	1	0	2
Queuine/archaeosine tRNA-ribosyltransferase	1	1	1	0	0	1	0	1	1	1	2	2	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	2	1	0	1	1	2	1
Uncharacterized membrane protein YdbT, contains bPH2 (bacterial pleckstrin homology) domain	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Uncharacterized membrane protein YvlD, DUF360 family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Ribosomal protein L17	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	2	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1
ABC-type uncharacterized transport system, ATPase component	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	0	0	1	1	1
Formamidopyrimidine-DNA glycosylase	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2	1	1	0	1	1	1	0	1	2	0	1	1	0	1
Signal transduction histidine kinase	4	4	7	4	4	4	5	5	5	5	5	4	5	6	5	6	5	6	4	1	4	4	6	5	2	2	2	4	4	2	4	5	3	4	4	3	4	3	4	4	5	3	4	5	3	3	4	4	6	6	3	3	4	4	5
Alpha-amylase/alpha-mannosidase, GH57 family	1	1	1	0	0	1	1	1	1	1	2	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	2	0	0	1	1	2	1
Glutamine amidotransferase related to the GATase domain of CobQ	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1
Membrane protein insertase Oxa1/YidC/SpoIIIJ, required for the localization of integral membrane proteins	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	2	0	0	1	3	1
tRNA A37 threonylcarbamoyltransferase TsaD	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1
L-ascorbate metabolism protein UlaG, beta-lactamase superfamily	2	0	1	1	0	1	1	2	1	1	1	2	1	1	1	2	0	1	1	1	0	1	0	1	0	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	3	0	1	1	1	1
Predicted ATPase with chaperone activity	1	0	1	2	0	1	2	1	1	1	1	2	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	0	1	1	1	1
Pentose-5-phosphate-3-epimerase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1
Ribosome-associated translation inhibitor RaiA	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
FoF1-type ATP synthase, alpha subunit	1	1	0	0	0	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	0	1	1	0	1	0	1
Ribosomal protein L3	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Tetratricopeptide (TPR) repeat	1	1	2	1	0	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	2	1	2	1	2	1	1	1	2	1	1	1	1	0	1	0	1	1	0	0	1
Glycogen synthase	1	1	1	0	0	1	1	1	1	1	1	0	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	2	0	0	1	0	2	1	2	0	0	1	2	3	1
Molecular chaperone GrpE (heat shock protein)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1
Ribosomal protein L4	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	2	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	1	1	2	1	0	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	0	1	1	2	1	1	0	1	1	0	0	1	0	1	2	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	2	2	1	1	1
Chromosomal replication initiation ATPase DnaA	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	0	0	1	2	1
CTP synthase (UTP-ammonia lyase)	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	2	0	0	1	2	0
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1
Ribosomal protein S19	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	2	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Ribosomal protein L14	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1
Ribosomal protein S3	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	0	1	0	1
Ribosomal protein S11	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1
Ribosomal protein L24	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Ribosomal protein S4 or related protein	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1
UTP-glucose-1-phosphate uridylyltransferase	2	2	1	2	1	1	1	1	2	2	2	1	2	3	2	2	2	1	1	2	2	1	2	2	0	1	1	2	2	2	1	1	2	1	2	2	2	0	2	3	0	2	2	2	2	2	2	1	1	2	0	0	3	1	2
tRNA A37 N6-isopentenylltransferase MiaA	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
ABC-type polysaccharide/polyol phosphate export permease	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	2	1
Thioredoxin reductase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	2	1	1	2	1	0	1
Ribonuclease HII	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1
Cell division protein FtsX	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	0	1
Ribosomal protein L16/L10AE	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Ribosomal protein S17	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Ribosomal protein L28	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1
Ribosomal protein L22	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Undecaprenyl pyrophosphate synthase	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	1
DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	2	1	1	1	1	2	1	0	0	1	2	1
Transketolase, C-terminal subunit	1	2	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	2	1
Bacterial cell division protein FtsW, lipid II flippase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	0	1
NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	2	1
UDP-N-acetylmuramyl pentapeptide synthase	1	1	1	2	0	2	2	2	2	1	1	1	2	2	1	2	2	2	2	1	1	2	2	2	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	2	0	0	2
UDP-N-acetylmuramoylalanine-D-glutamate ligase	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	2	1	1	1	2	1	1	2	2	1	2	2	2	2	1	3	3	0	0	2	1	2
FoF1-type ATP synthase, membrane subunit a	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1
Predicted metal-dependent hydrolase	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1
Predicted DNA-binding protein with double-wing structural motif, MmcQ/YjbR family	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	2	1	1	1	0	1	2	1	1
K+-sensing histidine kinase KdpD	3	1	3	3	1	3	3	2	2	1	3	2	2	3	2	1	4	2	3	0	0	3	2	2	1	0	3	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	3	3	3	0	3	2	2	3	0	2
Ribose 5-phosphate isomerase RpiB	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1
Predicted PurR-regulated permease PerM	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	0	0	1	2	1
UDP-N-acetylenolpyruvoylglucosamine reductase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	0	0	1	1	1
FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	1
Ribosomal protein L2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
DNA-binding transcriptional regulator, PadR family	1	2	1	2	2	1	2	1	1	2	1	3	2	2	2	3	2	1	2	2	2	0	0	2	1	2	1	2	0	0	1	1	0	1	0	0	0	1	0	0	1	2	0	0	0	1	2	0	1	3	0	0	1	0	1
Magnesium-transporting ATPase (P-type)	2	2	3	2	2	3	3	2	1	2	3	2	1	2	2	2	3	2	2	2	2	3	2	2	0	0	1	2	1	1	1	2	1	2	1	1	1	2	3	1	2	2	1	0	1	1	2	3	4	2	2	0	2	1	2
Regulator of protease activity HflC, stomatin/prohibitin superfamily	1	0	1	0	1	1	0	1	1	0	1	2	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1
Tat protein secretion system quality control protein TatD (DNase activity)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	0	1	1
Uracil-DNA glycosylase	1	1	1	1	2	2	0	0	0	1	2	2	2	1	1	2	2	0	0	1	1	2	1	2	2	2	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	2	1	1	1	0	3	0	0	1	1	0
Fructoselysine-6-P-deglycase FrlB and related proteins with duplicated sugar isomerase (SIS) domain	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	2	0	0	0	1	1	1
C-terminal processing protease CtpA/Prc, contains a PDZ domain	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	0	2	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
Membrane carboxypeptidase (penicillin-binding protein)	2	2	3	1	2	3	1	1	1	2	2	3	2	1	2	2	2	1	1	2	2	2	1	2	1	1	3	3	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	3	2	1	2	0	2	2	0	1
Uncharacterized protein	2	4	4	2	3	3	2	2	2	4	5	4	5	2	2	4	3	2	2	2	3	3	2	4	0	2	2	3	0	0	2	1	0	1	0	0	1	0	0	0	1	4	1	0	3	1	3	1	1	4	3	2	3	2	2
Transketolase, N-terminal subunit	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1
Uncharacterized membrane protein DedA, SNARE-associated domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1
tRNA A37 threonylcarbamoyladenosine modification protein TsaB	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Mg2+ and Co2+ transporter CorA	0	2	1	2	2	1	3	3	2	2	2	1	2	3	3	2	1	2	2	1	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	3	1	1	2	0	2
NTP pyrophosphatase, house-cleaning of non-canonical NTPs	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	3	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	2	0	1	1	0	1	0	2	1	0	2
Ribonucleotide reductase beta subunit, ferritin-like domain	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1
Uncharacterized SAM-binding protein YcdF, DUF218 family	1	1	2	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	1	0	1	1	1	2	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	2	0	1	0	1	1
Glycosyltransferase involved in cell wall bisynthesis	4	6	5	5	4	7	5	5	5	5	8	9	7	4	6	8	6	5	5	5	8	7	4	7	2	5	3	6	8	3	4	3	3	3	9	5	9	1	5	6	3	7	8	5	4	4	7	3	4	18	5	2	9	12	6
Anaerobic ribonucleoside-triphosphate reductase	0	1	1	1	1	1	2	2	0	2	1	2	1	1	1	1	2	1	2	0	0	1	0	0	1	0	1	1	1	1	0	0	2	0	1	1	1	0	1	2	0	1	1	1	0	0	1	1	0	1	0	2	0	0	1
Membrane-associated phospholipid phosphatase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1
Malic enzyme	0	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	1	0	0	1	0	1
Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	0	1	0	1	0	0	1	1	1	1	1	2	1	1	1	2	0	1	1	2	2	1	0	1	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	4	1	0	2	0	1
Large-conductance mechanosensitive channel	1	0	1	1	1	1	2	2	1	1	0	1	1	1	2	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	2	1	0	0	1	1	1
Ribosomal protein L23	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
16S rRNA G966 N2-methylase RsmD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1
Fructose/tagatose bisphosphate aldolase	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	2	1	1	1	1
dTDP-glucose pyrophosphorylase	0	1	1	1	0	1	1	1	1	1	1	1	0	0	2	1	2	1	2	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	3	1
Uncharacterized membrane protein	1	3	6	4	3	4	4	6	5	3	5	5	4	3	4	5	6	5	4	2	3	4	4	4	0	0	3	4	2	1	4	3	1	4	2	1	2	1	2	1	5	3	2	1	2	2	4	3	5	9	3	3	4	4	7
